CVE-2024-4741,3.0.13,3.0.14,libssl,SSL_free_buffers,SSL_free_buffers
CVE-2024-4741,3.0.13,3.0.14,libssl,RECORD_LAYER_data_present,RECORD_LAYER_data_present
CVE-2024-4603,3.0.13,3.0.14,libcrypto,dsa_precheck_params,dsa_precheck_params
CVE-2024-4603,3.0.13,3.0.14,libcrypto,ossl_dsa_check_params,ossl_dsa_check_params
CVE-2024-4603,3.0.13,3.0.14,libcrypto,ossl_dsa_check_pub_key,ossl_dsa_check_pub_key
CVE-2024-4603,3.0.13,3.0.14,libcrypto,ossl_dsa_check_pub_key_partial,ossl_dsa_check_pub_key_partial
CVE-2024-4603,3.0.13,3.0.14,libcrypto,ossl_dsa_check_priv_key,ossl_dsa_check_priv_key
CVE-2024-4603,3.0.13,3.0.14,libcrypto,ossl_dsa_check_pairwise,ossl_dsa_check_pairwise
CVE-2024-2511,3.0.13,3.0.14,libssl,ssl_update_cache,ssl_update_cache
CVE-2024-2511,3.0.13,3.0.14,libssl,SSL_SESSION_dup,SSL_SESSION_dup
CVE-2024-2511,3.0.13,3.0.14,libssl,ssl_session_dup,ssl_session_dup
CVE-2024-2511,3.0.13,3.0.14,libssl,ssl_session_dup_intern,ssl_session_dup_intern
CVE-2024-2511,3.0.13,3.0.14,libssl,tls_construct_server_hello,tls_construct_server_hello
