CVE-2020-14145,8.4,ssh_kex2
CVE-2021-28041,8.5,parse_key_constraints
CVE-2021-41617,8.8,subprocess
CVE-2023-25136,9.1,compat_cipher_proposal
CVE-2023-25136,9.1,compat_pkalg_proposal
CVE-2023-25136,9.1,compat_kex_proposal
CVE-2023-38408,9.4,handle_conn_read
CVE-2023-38408,9.4,main
CVE-2023-38408,9.4,sshsk_enroll
CVE-2023-38408,9.4,sshsk_sign
CVE-2023-38408,9.4,sshsk_load_resident
CVE-2023-38408,9.4,pkcs11_add_provider
CVE-2023-38408,9.4,pkcs11_del_provider
CVE-2023-38408,9.4,ecdsa_do_sign
CVE-2023-38408,9.4,pkcs11_terminate
CVE-2023-38408,9.4,pkcs11_init
CVE-2023-38408,9.4,lib_contains_symbol
CVE-2023-48795,9.6,kex_names_cat
CVE-2023-48795,9.6,kex_proposal_populate_entries
CVE-2023-48795,9.6,kex_protocol_error
CVE-2023-48795,9.6,kex_input_ext_info
CVE-2023-48795,9.6,kex_input_kexinit
CVE-2023-48795,9.6,ssh_packet_send2_wrapped
CVE-2023-48795,9.6,ssh_packet_read_seqnr
CVE-2023-48795,9.6,ssh_packet_read_expect
CVE-2023-48795,9.6,ssh_packet_read_poll2
CVE-2023-48795,9.6,ssh_packet_read_poll_seqnr
CVE-2023-48795,9.6,sshpkt_disconnect
CVE-2023-48795,9.6,ssh_userauth2
CVE-2023-48795,9.6,input_userauth_ext_info
CVE-2023-48795,9.6,input_userauth_success
CVE-2023-51385,9.6,main
